parameters: n=9 l=4 k=1 p=5 q=3 m=10
TOTAL 810 solutions found
EXPR: 0 | POS | INT | 0 | 90 | 224 | ((24*2)*(14/3))=x | 24 2 * 14 3 / * x = | 24:bicycle 2:wheel *:wheel 14:tricycle 3:wheel /:tricycle *:wheel x:wheel =:wheel
EXPR: 1 | POS | INT | 0 | 90 | 90 | ((24*2)+(14*3))=x | 24 2 * 14 3 * + x = | 24:bicycle 2:wheel *:wheel 14:tricycle 3:wheel *:wheel +:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 0 | 90 | 6 | ((24*2)-(14*3))=x | 24 2 * 14 3 * - x = | 24:bicycle 2:wheel *:wheel 14:tricycle 3:wheel *:wheel -:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 0 | 90 | 744 | (24*((2*14)+3))=x | 24 2 14 * 3 + * x = | 24:bicycle 2:wheel 14:tricycle *:wheel 3:wheel +:wheel *:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 0 | 90 | 600 | (24*((2*14)-3))=x | 24 2 14 * 3 - * x = | 24:bicycle 2:wheel 14:tricycle *:wheel 3:wheel -:wheel *:wheel x:wheel =:wheel
EXPR: 1 | POS | INT | 1 | 90 | 90 | ((24*2)+(14*3))=x | 24 2 * 14 3 * + x = | 24:bicycle 2:wheel *:wheel 14:tricycle 3:wheel *:wheel +:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 1 | 90 | 6 | ((24*2)-(14*3))=x | 24 2 * 14 3 * - x = | 24:bicycle 2:wheel *:wheel 14:tricycle 3:wheel *:wheel -:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 1 | 90 | 224 | ((24*2)*(14/3))=x | 24 2 * 14 3 / * x = | 24:bicycle 2:wheel *:wheel 14:tricycle 3:wheel /:tricycle *:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 1 | 90 | 744 | (24*((2*14)+3))=x | 24 2 14 * 3 + * x = | 24:bicycle 2:wheel 14:tricycle *:wheel 3:wheel +:wheel *:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 1 | 90 | 600 | (24*((2*14)-3))=x | 24 2 14 * 3 - * x = | 24:bicycle 2:wheel 14:tricycle *:wheel 3:wheel -:wheel *:wheel x:wheel =:wheel
EXPR: 0 | POS | INT | 2 | 90 | 224 | ((24*2)*(14/x))=3 | 24 2 * 14 x / * 3 = | 24:bicycle 2:wheel *:wheel 14:tricycle x:wheel /:tricycle *:wheel 3:wheel =:wheel
